CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
ASSAULT	12/10/2018 06:51:00 PM	18-062380	THREAT CRIME:INT:TERRORIZE	34X	9400 INTERNATIONAL BLVD	Oakland	CA	"9400 INTERNATIONAL BLVD
Oakland, CA
(37.747073, -122.172434)"
THEFT/LARCENY	12/14/2018 10:49:00 AM	18-063002	THEFT	14X	600 BELLEVUE AV	Oakland	CA	"600 BELLEVUE AV
Oakland, CA
(37.807478, -122.255985)"
MOTOR VEHICLE THEFT	12/12/2018 10:00:00 PM	18-062752	VEHICLE THEFT - AUTO	23X	1000 35TH AV	Oakland	CA	"1000 35TH AV
Oakland, CA
(37.774275, -122.224079)"
MOTOR VEHICLE THEFT	12/17/2018 03:23:00 PM	18-063509	VEHICLE THEFT - AUTO	26Y	6700 EASTLAWN ST	Oakland	CA	"6700 EASTLAWN ST
Oakland, CA
(37.759282, -122.195507)"
MOTOR VEHICLE THEFT	12/17/2018 09:00:00 PM	18-063676	VEHICLE THEFT - AUTO	19X	1100 E 12TH ST	Oakland	CA	"1100 E 12TH ST
Oakland, CA
(37.790456, -122.249576)"
MOTOR VEHICLE THEFT	12/02/2018 08:00:00 PM	18-060956	VEHICLE THEFT - AUTO	14Y	300 SANTA CLARA AV	Oakland	CA	"300 SANTA CLARA AV
Oakland, CA
(37.816129, -122.249438)"
ASSAULT	12/13/2018 04:49:00 PM	18-062872	BATTERY	04X	500 14TH ST	Oakland	CA	"500 14TH ST
Oakland, CA
(37.80492, -122.272704)"
DISTURBING THE PEACE	12/22/2018 05:28:00 PM	18-064476	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ROBBERY	12/14/2018 12:30:00 PM	18-063028	ROBBERY-FIREARM	34X	9600 BIRCH ST	Oakland	CA	"9600 BIRCH ST
Oakland, CA
(37.748295, -122.166115)"
MOTOR VEHICLE THEFT	11/30/2018 02:00:00 PM	18-060497	VEHICLE THEFT - AUTO	23X	4000 ALAMEDA AV	Oakland	CA	"4000 ALAMEDA AV
Oakland, CA
(37.768208, -122.22405)"
THEFT/LARCENY	12/21/2018 01:11:00 AM	18-064387	THEFT	02X	1000 8TH ST	Oakland	CA	"1000 8TH ST
Oakland, CA
(37.804078, -122.284485)"
THEFT/LARCENY	12/18/2018 12:00:00 PM	18-063982	BURGLARY-AUTO	02X	1200 BLK OF 21ST ST	Oakland	CA	"1200 BLK OF 21ST ST
Oakland, CA
(37.814792, -122.286001)"
VANDALISM	12/21/2018 12:00:00 AM	18-064655	VANDALISM	24Y	4100 FULLINGTON ST	Oakland	CA	"4100 FULLINGTON ST
Oakland, CA
(37.787511, -122.199477)"
VANDALISM	12/04/2018 05:04:00 PM	18-061182	VANDALISM $10000 OR MORE	32Y	2300 100TH AV	Oakland	CA	"2300 100TH AV
Oakland, CA
(37.74543, -122.157767)"
ASSAULT	12/14/2018 04:00:00 AM	18-062958	BATTERY	28X	3200 COURTLAND AV	Oakland	CA	"3200 COURTLAND AV
Oakland, CA
(37.784563, -122.197524)"
ROBBERY	12/23/2018 09:08:00 PM	18-064560	CARJACKING WITH KNIFE	19X	100 E 15TH ST	Oakland	CA	"100 E 15TH ST
Oakland, CA
(37.799169, -122.256044)"
MOTOR VEHICLE THEFT	12/14/2018 07:41:00 AM	18-062986	VEHICLE THEFT - AUTO	29X	6300 HILLMONT DR	Oakland	CA	"6300 HILLMONT DR
Oakland, CA
(37.778557, -122.172988)"
ASSAULT	12/21/2018 06:00:00 PM	18-064264	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	13Z	6700 LIGGETT DR	Oakland	CA	"6700 LIGGETT DR
Oakland, CA
(37.821732, -122.210733)"
MOTOR VEHICLE THEFT	12/04/2018 11:00:00 AM	18-061412	VEHICLE THEFT - AUTO	27Y	6100 HARMON AV	Oakland	CA	"6100 HARMON AV
Oakland, CA
(37.767442, -122.19422)"
DISTURBING THE PEACE	12/12/2018 12:32:00 PM	18-062676	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ASSAULT	12/18/2018 12:31:00 AM	18-063602	SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC	27Y	5600 BANCROFT AV	Oakland	CA	"5600 BANCROFT AV
Oakland, CA
(37.771443, -122.195763)"
DISTURBING THE PEACE	12/23/2018 12:31:00 PM	18-064502	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
THEFT/LARCENY	12/12/2018 08:00:00 PM	18-062744	BURGLARY-AUTO	14Y	700 WALKER AV	Oakland	CA	"700 WALKER AV
Oakland, CA
(37.811446, -122.246945)"
THEFT/LARCENY	12/24/2018 11:00:00 AM	18-064642	THEFT	30X	7900 INTERNATIONAL BLVD	Oakland	CA	"7900 INTERNATIONAL BLVD
Oakland, CA
(37.756951, -122.182248)"
ASSAULT	12/13/2018 10:15:00 AM	18-062822	FALSE BOMB/ETC REPORT TO ANY PERSON	04X	1900 HARRISON ST	Oakland	CA	"1900 HARRISON ST
Oakland, CA
(37.806345, -122.26546)"
THEFT/LARCENY	12/22/2018 10:00:00 AM	18-064472	BURGLARY-AUTO	08X	500 40TH ST	Oakland	CA	"500 40TH ST
Oakland, CA
(37.82926, -122.264805)"
MOTOR VEHICLE THEFT	12/05/2018 07:00:00 AM	18-061426	VEHICLE THEFT - AUTO	27Y	5300 WENTWORTH AV	Oakland	CA	"5300 WENTWORTH AV
Oakland, CA
(37.770625, -122.202733)"
BURGLARY	12/13/2018 09:00:00 PM	18-062962	BURGLARY-NO FORCE	13X	5900 OCEAN VIEW DR	Oakland	CA	"5900 OCEAN VIEW DR
Oakland, CA
(37.845769, -122.245315)"
MOTOR VEHICLE THEFT	12/18/2018 12:20:00 PM	18-063679	VEHICLE THEFT - AUTO	21X	2500 E 27TH ST	Oakland	CA	"2500 E 27TH ST
Oakland, CA
(37.792275, -122.224041)"
MOTOR VEHICLE THEFT	12/14/2018 06:00:00 AM	18-062964	VEHICLE THEFT - AUTO	19X	1700 EMBARCADERO	Oakland	CA	"1700 EMBARCADERO
Oakland, CA
(37.785863, -122.24564)"
FRAUD	12/01/2018 12:51:00 PM	18-917011	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	08X	3800 MANILA AV	Oakland	CA	"3800 MANILA AV
Oakland, CA
(37.826383, -122.258799)"
MOTOR VEHICLE THEFT	12/13/2018 11:00:00 PM	18-062988	VEHICLE THEFT - AUTO	23X	3900 SAN LEANDRO ST	Oakland	CA	"3900 SAN LEANDRO ST
Oakland, CA
(37.772266, -122.220601)"
ROBBERY	12/17/2018 11:40:00 PM	18-063595	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	03X	1200 BROADWAY	Oakland	CA	"1200 BROADWAY
Oakland, CA
(37.803128, -122.271954)"
