CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
VANDALISM	10/10/2018 08:00:00 PM	18-914348	VANDALISM	08X	2400 BROADWAY	Oakland	CA	"2400 BROADWAY
Oakland, CA
(37.813391, -122.265467)"
FRAUD	11/19/2018 02:15:00 PM	18-916561	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	24X	3500 LYON AV	Oakland	CA	"3500 LYON AV
Oakland, CA
(37.787043, -122.211972)"
ASSAULT	12/10/2018 06:51:00 PM	18-062380	THREAT CRIME:INT:TERRORIZE	34X	9400 INTERNATIONAL BLVD	Oakland	CA	"9400 INTERNATIONAL BLVD
Oakland, CA
(37.747073, -122.172434)"
THEFT/LARCENY	10/29/2018 07:30:00 AM	18-054883	THEFT	21Y	3100 SUTER ST	Oakland	CA	"3100 SUTER ST
Oakland, CA
(37.794962, -122.20922)"
ASSAULT	09/30/2018 10:22:00 PM	18-049684	SHOOT:INHAB DWELL/VEH/ETC	27Y	6200 HAYES ST	Oakland	CA	"6200 HAYES ST
Oakland, CA
(37.767436, -122.192121)"
VANDALISM	10/07/2018 02:30:00 PM	18-051028	VANDALISM	04X	1500 LAKESIDE DR	Oakland	CA	"1500 LAKESIDE DR
Oakland, CA
(37.802944, -122.261708)"
THEFT/LARCENY	10/10/2018 08:30:00 PM	18-914402	BURGLARY-AUTO	03X	300 12TH ST	Oakland	CA	"300 12TH ST
Oakland, CA
(37.796574, -122.256491)"
VANDALISM	11/06/2018 08:45:00 PM	18-915921	VANDALISM	03Y	1200 CLAY ST	Oakland	CA	"1200 CLAY ST
Oakland, CA
(37.804497, -122.27411)"
MOTOR VEHICLE THEFT	10/09/2018 01:15:00 PM	18-051270	VEHICLE THEFT - AUTO	33X	1300 92ND AV	Oakland	CA	"1300 92ND AV
Oakland, CA
(37.747702, -122.175346)"
VANDALISM	10/28/2018 09:30:00 PM	18-054810	VANDALISM:DAMAGE PROPERTY	26Y	800 77TH AV	Oakland	CA	"800 77TH AV
Oakland, CA
(37.751754, -122.193427)"
THEFT/LARCENY	12/14/2018 10:49:00 AM	18-063002	THEFT	14X	600 BELLEVUE AV	Oakland	CA	"600 BELLEVUE AV
Oakland, CA
(37.807478, -122.255985)"
THEFT/LARCENY	10/15/2018 10:30:00 PM	18-052714	THEFT	25X	4400 REINHARDT DR	Oakland	CA	"4400 REINHARDT DR
Oakland, CA
(37.79207, -122.183768)"
MOTOR VEHICLE THEFT	12/12/2018 10:00:00 PM	18-062752	VEHICLE THEFT - AUTO	23X	1000 35TH AV	Oakland	CA	"1000 35TH AV
Oakland, CA
(37.774275, -122.224079)"
MOTOR VEHICLE THEFT	12/17/2018 03:23:00 PM	18-063509	VEHICLE THEFT - AUTO	26Y	6700 EASTLAWN ST	Oakland	CA	"6700 EASTLAWN ST
Oakland, CA
(37.759282, -122.195507)"
ASSAULT	10/10/2018 11:00:00 PM	18-051570	EXHIBIT FIREARM	33X	1000 88TH AV	Oakland	CA	"1000 88TH AV
Oakland, CA
(37.748173, -122.181955)"
ASSAULT	10/01/2018 11:00:00 PM	18-049884	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	27X	2000 45TH AV	Oakland	CA	"2000 45TH AV
Oakland, CA
(37.775173, -122.209645)"
