CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
VANDALISM	10/10/2018 08:00:00 PM	18-914348	VANDALISM	08X	2400 BROADWAY	Oakland	CA	"2400 BROADWAY
Oakland, CA
(37.813391, -122.265467)"
ROBBERY	10/20/2018 11:00:00 PM	18-053397	ROBBERY-KNIFE OR CUTTING INSTRUMENT	20X	E 15TH ST & 23RD AV	Oakland	CA	"E 15TH ST &amp; 23RD AV
Oakland, CA
(37.784234, -122.235151)"
VANDALISM	11/01/2018 09:00:00 AM	18-915906	VANDALISM	21Y	2400 COOLIDGE AVE	Oakland	CA	"2400 COOLIDGE AVE
Oakland, CA
(37.786275, -122.218976)"
THEFT/LARCENY	10/29/2018 07:30:00 AM	18-054883	THEFT	21Y	3100 SUTER ST	Oakland	CA	"3100 SUTER ST
Oakland, CA
(37.794962, -122.20922)"
ASSAULT	10/05/2018 10:30:00 PM	18-050709	BATTERY	14X	23RD ST & HARRISON ST	Oakland	CA	"23RD ST &amp; HARRISON ST
Oakland, CA
(37.811434, -122.262063)"
ASSAULT	10/14/2018 10:57:00 PM	18-052230	WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER	19X	22ND AV & INTERNATIONAL BLVD	Oakland	CA	"22ND AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.78457, -122.237888)"
VANDALISM	10/07/2018 02:30:00 PM	18-051028	VANDALISM	04X	1500 LAKESIDE DR	Oakland	CA	"1500 LAKESIDE DR
Oakland, CA
(37.802944, -122.261708)"
VANDALISM	10/10/2018 06:00:00 PM	18-914346	VANDALISM	04X	FRANKLIN ST & 19TH ST	Oakland	CA	"FRANKLIN ST &amp; 19TH ST
Oakland, CA
(37.807302, -122.267798)"
THEFT/LARCENY	10/10/2018 08:30:00 PM	18-914402	BURGLARY-AUTO	03X	300 12TH ST	Oakland	CA	"300 12TH ST
Oakland, CA
(37.796574, -122.256491)"
VANDALISM	11/06/2018 08:45:00 PM	18-915921	VANDALISM	03Y	1200 CLAY ST	Oakland	CA	"1200 CLAY ST
Oakland, CA
(37.804497, -122.27411)"
MOTOR VEHICLE THEFT	10/09/2018 01:15:00 PM	18-051270	VEHICLE THEFT - AUTO	33X	1300 92ND AV	Oakland	CA	"1300 92ND AV
Oakland, CA
(37.747702, -122.175346)"
MOTOR VEHICLE THEFT	11/01/2018 08:00:00 AM	18-055619	VEHICLE THEFT - AUTO	34X	88TH AV & PLYMOUTH ST	Oakland	CA	"88TH AV &amp; PLYMOUTH ST
Oakland, CA
(37.75258, -122.172066)"
ROBBERY	10/04/2018 08:22:00 PM	18-050511	ROBBERY-FIREARM	12Y	BOYD AV & HUDSON ST	Oakland	CA	"BOYD AV &amp; HUDSON ST
Oakland, CA
(37.841157, -122.253673)"
VANDALISM	10/28/2018 09:30:00 PM	18-054810	VANDALISM:DAMAGE PROPERTY	26Y	800 77TH AV	Oakland	CA	"800 77TH AV
Oakland, CA
(37.751754, -122.193427)"
VANDALISM	10/21/2018 10:00:00 AM	18-915456	VANDALISM	02X	UNION ST & 7TH ST	Oakland	CA	"UNION ST &amp; 7TH ST
Oakland, CA
(37.804273, -122.290388)"
VANDALISM	10/28/2018 08:13:00 PM	18-915453	VANDALISM	03Y	CLAY ST & 10TH ST	Oakland	CA	"CLAY ST &amp; 10TH ST
Oakland, CA
(37.802505, -122.275329)"
WEAPONS	10/16/2018 10:35:00 PM	18-052631	CARRY CONCEALED WEAPON- UNLAWFUL POSSESS	23X	E 17TH ST & FRUITVALE AV	Oakland	CA	"E 17TH ST &amp; FRUITVALE AV
Oakland, CA
(37.781416, -122.223941)"
THEFT/LARCENY	10/15/2018 10:30:00 PM	18-052714	THEFT	25X	4400 REINHARDT DR	Oakland	CA	"4400 REINHARDT DR
Oakland, CA
(37.79207, -122.183768)"
VANDALISM	10/01/2018 11:00:00 AM	18-914730	VANDALISM	08X	27TH ST & NORTHGATE AV	Oakland	CA	"27TH ST &amp; NORTHGATE AV
Oakland, CA
(37.816476, -122.269833)"
THEFT/LARCENY	10/24/2018 12:00:00 AM	18-054023	THEFT	08X	NORTHGATE AV & SYCAMORE ST	Oakland	CA	"NORTHGATE AV &amp; SYCAMORE ST
Oakland, CA
(37.815374, -122.270142)"
MOTOR VEHICLE THEFT	11/11/2018 08:00:00 PM	18-057303	VEHICLE THEFT - AUTO	30Y	82ND AV & HILLSIDE ST	Oakland	CA	"82ND AV &amp; HILLSIDE ST
Oakland, CA
(37.761401, -122.167587)"
THEFT/LARCENY	10/18/2018 05:30:00 PM	18-914866	BURGLARY-AUTO	02X	7TH ST & MANDELA PKWY	Oakland	CA	"7TH ST &amp; MANDELA PKWY
Oakland, CA
(37.805003, -122.293701)"
THEFT/LARCENY	11/15/2018 08:00:00 PM	18-058049	THEFT	19X	200 BLOCK OF E. 12TH ST	Oakland	CA	"200 BLOCK OF E. 12TH ST
Oakland, CA
(37.797265, -122.257298)"
ASSAULT	10/10/2018 11:00:00 PM	18-051570	EXHIBIT FIREARM	33X	1000 88TH AV	Oakland	CA	"1000 88TH AV
Oakland, CA
(37.748173, -122.181955)"
ASSAULT	10/01/2018 11:00:00 PM	18-049884	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	27X	2000 45TH AV	Oakland	CA	"2000 45TH AV
Oakland, CA
(37.775173, -122.209645)"
ASSAULT	10/27/2018 06:33:00 PM	18-054637	SHOOT AT INHABITED DWELLING/VEHICLE/ETC	27Y	64TH AV & HAYES ST	Oakland	CA	"64TH AV &amp; HAYES ST
Oakland, CA
(37.766288, -122.190875)"
VANDALISM	10/02/2018 05:00:00 PM	18-913852	VANDALISM	08X	29TH ST & WEBSTER ST	Oakland	CA	"29TH ST &amp; WEBSTER ST
Oakland, CA
(37.817561, -122.26376)"
VANDALISM	10/16/2018 07:35:00 PM	18-914715	VANDALISM	04X	21ST ST & BROADWAY	Oakland	CA	"21ST ST &amp; BROADWAY
Oakland, CA
(37.810054, -122.267641)"
MOTOR VEHICLE THEFT	11/14/2018 06:00:00 PM	18-057868	VEHICLE THEFT - AUTO	25X	4500 FAIR AV	Oakland	CA	"4500 FAIR AV
Oakland, CA
(37.790355, -122.185436)"
MOTOR VEHICLE THEFT	10/20/2018 12:00:00 PM	18-053530	VEHICLE THEFT - AUTO	14X	JAYNE AV & PERKINS ST	Oakland	CA	"JAYNE AV &amp; PERKINS ST
Oakland, CA
(37.81372, -122.255214)"
ROBBERY	10/05/2018 07:30:00 PM	18-050685	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	30Y	68TH AV & FOOTHILL BLVD	Oakland	CA	"68TH AV &amp; FOOTHILL BLVD
Oakland, CA
(37.769955, -122.178467)"
BURGLARY	11/14/2018 04:30:00 PM	18-057794	BURGLARY-FORCIBLE ENTRY	06X	3800 WEST ST	Oakland	CA	"3800 WEST ST
Oakland, CA
(37.827633, -122.271646)"
THEFT/LARCENY	11/05/2018 08:10:00 PM	18-915855	THEFT	03Y	500 10TH ST	Oakland	CA	"500 10TH ST
Oakland, CA
(37.801958, -122.273972)"
THEFT/LARCENY	11/01/2018 12:00:00 AM	18-056400	BURGLARY-AUTO	10X	65TH ST & SAN PABLO AV	Oakland	CA	"65TH ST &amp; SAN PABLO AV
Oakland, CA
(37.848063, -122.285293)"
THEFT/LARCENY	10/17/2018 08:30:00 PM	18-914803	BURGLARY-AUTO	12X	WEBSTER ST & 41ST ST	Oakland	CA	"WEBSTER ST &amp; 41ST ST
Oakland, CA
(37.829385, -122.260627)"
ASSAULT	10/01/2018 09:20:00 PM	18-049868	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	30Y	7600 MACARTHUR BLVD	Oakland	CA	"7600 MACARTHUR BLVD
Oakland, CA
(37.767423, -122.169566)"
ROBBERY	10/17/2018 10:30:00 PM	18-052831	ROBBERY-FIREARM	19X	13TH AV & INTERNATIONAL BLVD	Oakland	CA	"13TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.789876, -122.247195)"
THEFT/LARCENY	11/05/2018 07:00:00 AM	18-056357	THEFT	11X	5400 SHATTUCK AV	Oakland	CA	"5400 SHATTUCK AV
Oakland, CA
(37.839264, -122.264366)"
MOTOR VEHICLE THEFT	10/30/2018 10:30:00 PM	18-055282	VEHICLE THEFT - AUTO	15X	FOOTHILL BLVD & LAKESHORE AV	Oakland	CA	"FOOTHILL BLVD &amp; LAKESHORE AV
Oakland, CA
(37.799956, -122.255089)"
THEFT/LARCENY	11/16/2018 12:00:00 AM	18-916487	THEFT	04X	2100 FRANKLIN ST	Oakland	CA	"2100 FRANKLIN ST
Oakland, CA
(37.810619, -122.26661)"
MOTOR VEHICLE THEFT	10/16/2018 12:00:00 AM	18-053528	VEHICLE THEFT - AUTO	23X	E 18TH ST & ROSEDALE AV	Oakland	CA	"E 18TH ST &amp; ROSEDALE AV
Oakland, CA
(37.776224, -122.215605)"
MOTOR VEHICLE THEFT	10/22/2018 05:00:00 PM	18-053726	VEHICLE THEFT - AUTO	34X	1700 AUSEON AV	Oakland	CA	"1700 AUSEON AV
Oakland, CA
(37.753865, -122.172845)"
THEFT/LARCENY	10/10/2018 09:25:00 PM	18-914349	BURGLARY-AUTO	12X	400 40TH ST	Oakland	CA	"400 40TH ST
Oakland, CA
(37.828507, -122.26004)"
MOTOR VEHICLE THEFT	10/10/2018 01:48:00 PM	18-051538	VEHICLE THEFT - AUTO	09X	200 38TH ST	Oakland	CA	"200 38TH ST
Oakland, CA
(37.8255, -122.256571)"
THEFT/LARCENY	10/10/2018 08:00:00 PM	18-914393	BURGLARY-AUTO	08X	2400 WEBSTER ST	Oakland	CA	"2400 WEBSTER ST
Oakland, CA
(37.813446, -122.264865)"
ASSAULT	10/08/2018 05:46:00 PM	18-051123	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	19X	900 E 10TH ST	Oakland	CA	"900 E 10TH ST
Oakland, CA
(37.790819, -122.253333)"
VANDALISM	10/26/2018 07:00:00 PM	18-915460	VANDALISM	14X	PERKINS ST & JAYNE AV	Oakland	CA	"PERKINS ST &amp; JAYNE AV
Oakland, CA
(37.81372, -122.255214)"
DISTURBING THE PEACE	11/09/2018 09:58:00 AM	18-056883	DISTURB THE PEACE	06X	30TH ST & SAN PABLO AV	Oakland	CA	"30TH ST &amp; SAN PABLO AV
Oakland, CA
(37.820918, -122.276676)"
THEFT/LARCENY	11/15/2018 06:20:00 PM	18-916476	BURGLARY-AUTO	01X	400 2ND ST	Oakland	CA	"400 2ND ST
Oakland, CA
(37.795585, -122.275115)"
THEFT/LARCENY	10/28/2018 07:57:00 PM	18-054812	BURGLARY-AUTO	08X	24TH ST & BROADWAY	Oakland	CA	"24TH ST &amp; BROADWAY
Oakland, CA
(37.813404, -122.265569)"
ASSAULT	10/17/2018 02:39:00 AM	18-052658	BATTERY	27X	COLE ST & FOOTHILL BLVD	Oakland	CA	"COLE ST &amp; FOOTHILL BLVD
Oakland, CA
(37.772625, -122.198565)"
THEFT/LARCENY	10/25/2018 12:00:00 PM	18-915278	THEFT	04X	1400 BROADWAY	Oakland	CA	"1400 BROADWAY
Oakland, CA
(37.804484, -122.271077)"
MOTOR VEHICLE THEFT	10/10/2018 06:30:00 AM	18-051705	VEHICLE THEFT - AUTO	21Y	2600 PLEASANT ST	Oakland	CA	"2600 PLEASANT ST
Oakland, CA
(37.797158, -122.217604)"
ROBBERY	10/29/2018 11:35:00 PM	18-055009	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	77X	22ND ST & GRAND AV	Oakland	CA	"22ND ST &amp; GRAND AV
Oakland, CA"
VANDALISM	10/21/2018 09:30:00 PM	18-914939	VANDALISM	01X	2ND ST & WEBSTER ST	Oakland	CA	"2ND ST &amp; WEBSTER ST
Oakland, CA
(37.795113, -122.273933)"
THEFT/LARCENY	10/09/2018 07:00:00 PM	18-914406	THEFT	20X	2800 E 10TH ST	Oakland	CA	"2800 E 10TH ST
Oakland, CA
(37.777347, -122.233686)"
THEFT/LARCENY	11/05/2018 09:37:00 PM	18-915882	THEFT	17Y	2200 7TH AVE	Oakland	CA	"2200 7TH AVE
Oakland, CA
(37.799578, -122.24485)"
ASSAULT	10/04/2018 02:21:00 PM	18-050457	INFLICT CRPL INJ SP/COHAB	24Y	2800 38TH AV	Oakland	CA	"2800 38TH AV
Oakland, CA
(37.786409, -122.205339)"
THEFT/LARCENY	11/14/2018 09:00:00 AM	18-916468	BURGLARY-AUTO	12X	500 40TH ST	Oakland	CA	"500 40TH ST
Oakland, CA
(37.82926, -122.264805)"
ASSAULT	10/16/2018 11:10:00 AM	18-052523	BATTERY	26Y	INTERNATIONAL BLVD & SEMINARY AV	Oakland	CA	"INTERNATIONAL BLVD &amp; SEMINARY AV
Oakland, CA
(37.765111, -122.19952)"
ASSAULT	10/01/2018 07:40:00 PM	18-049854	BATTERY	20X	1500 27TH AV	Oakland	CA	"1500 27TH AV
Oakland, CA
(37.781602, -122.230671)"
ROBBERY	10/20/2018 12:29:00 AM	18-053179	ATTEMPTED ROBBERY-FIREARM	04X	1700 BROADWAY	Oakland	CA	"1700 BROADWAY
Oakland, CA
(37.806798, -122.269629)"
THEFT/LARCENY	10/20/2018 09:26:00 PM	18-915280	GRAND THEFT	03Y	8TH ST & WASHINGTON ST	Oakland	CA	"8TH ST &amp; WASHINGTON ST
Oakland, CA
(37.80069, -122.275)"
ROBBERY	10/04/2018 08:05:00 PM	18-050503	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	19X	1500 E 12TH ST	Oakland	CA	"1500 E 12TH ST
Oakland, CA
(37.787943, -122.245701)"
THEFT/LARCENY	10/05/2018 07:50:00 PM	18-050703	BURGLARY-AUTO	01X	3RD ST & WASHINGTON ST	Oakland	CA	"3RD ST &amp; WASHINGTON ST
Oakland, CA
(37.797204, -122.277146)"
DISTURBING THE PEACE	10/27/2018 12:30:00 AM	18-054786	DISTURB THE PEACE	10X	1200 55TH ST	Oakland	CA	"1200 55TH ST
Oakland, CA
(37.838205, -122.284082)"
ROBBERY	10/09/2018 03:00:00 AM	18-051359	CARJACKING WITH FIREARM	18Y	2100 E 30TH ST	Oakland	CA	"2100 E 30TH ST
Oakland, CA
(37.796786, -122.22738)"
ASSAULT	11/06/2018 09:00:00 PM	18-056413	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	04X	500 19TH ST	Oakland	CA	"500 19TH ST
Oakland, CA
(37.808199, -122.269911)"
