SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2029 36th Ave,Oakland,CA,94601,515000,2,1.0,Fruitvale,813,3815,1909,59,633,,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/2029-36th-Ave-94601/home/1957441,Bridge MLS,40844664,N,Y,37.7825782,-122.2164824
MLS Listing,,Single Family Residential,4019 Lyon Ave,OAKLAND,CA,94601,550000,4,2.0,OAKLAND,2099,6290,1912,1,262,,Active,,,http://www.redfin.com/CA/Oakland/4019-Lyon-Ave-94601/unit-A/home/1607235,MLSListings,ML81733950,N,Y,37.7826771,-122.2074831
MLS Listing,,Single Family Residential,1101 103Rd Ave,Oakland,CA,94603,400000,2,1.0,Stonehurst,1012,5360,1941,1,395,,Active,,,http://www.redfin.com/CA/Oakland/1101-103rd-Ave-94603/home/588388,Bridge MLS,40848744,N,Y,37.7384083,-122.1724985
MLS Listing,,Multi-Family (2-4 Unit),,Oakland,CA,94603-1539,600000,3,3.0,E Oakland,1800,9000,1945,1,333,,Active,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94603/home/1870126,Bridge MLS,40848742,N,Y,37.747528,-122.1702367
MLS Listing,,Single Family Residential,2202 E 20th,OAKLAND,CA,94601,799980,4,3.0,OAKLAND,2331,2500,2018,1,343,,Active,January-5-2019 01:00 PM,January-5-2019 04:00 PM,http://www.redfin.com/CA/Oakland/2202-E-20th-St-94606/home/148128170,MLSListings,ML81733929,N,Y,37.7888666,-122.2336576
MLS Listing,,Single Family Residential,2653 66Th Ave,Oakland,CA,94605,475000,2,1.0,Havenscourt,1351,3800,1925,2,352,,Active,December-30-2018 02:00 PM,December-30-2018 04:30 PM,http://www.redfin.com/CA/Oakland/2653-66th-Ave-94605/home/1995306,Bridge MLS,40848710,N,Y,37.7689803,-122.1842943
MLS Listing,,Single Family Residential,1041 Mandana Blvd,Oakland,CA,94610,1095000,3,1.5,Crocker Hghlands,1974,5750,1924,2,555,,Active,January-6-2019 02:00 PM,January-6-2019 04:30 PM,http://www.redfin.com/CA/Oakland/1041-Mandana-Blvd-94610/home/658869,Bridge MLS,40848699,N,Y,37.8126215,-122.2275641
MLS Listing,,Single Family Residential,1310 49Th Ave,Oakland,CA,94601,325000,3,1.0,Oakland,812,3000,1913,3,400,,Active,,,http://www.redfin.com/CA/Oakland/1310-49th-Ave-94601/home/812775,Bridge MLS,40848667,N,Y,37.7691493,-122.2098216
MLS Listing,,Single Family Residential,6450 Oakwood Dr,Oakland,CA,94611,1395000,3,3.0,Oakland Hills,2300,9587,1978,3,607,,Active,,,http://www.redfin.com/CA/Oakland/6450-Oakwood-Dr-94611/home/1971103,Bridge MLS,40848663,N,Y,37.8397754,-122.2019413
MLS Listing,,Single Family Residential,5618 Gaskill,Oakland,CA,94608-2714,530000,2,1.0,Oakland,900,2800,1928,4,589,,Active,,,http://www.redfin.com/CA/Oakland/5618-Gaskill-St-94608/home/1992430,Bridge MLS,40848639,N,Y,37.8397318,-122.2800762
MLS Listing,,Townhouse,8347 International Blvd,Oakland,CA,94621,305000,3,1.5,International,1397,2378,1987,4,218,153,Active,,,http://www.redfin.com/CA/Oakland/8347-International-Blvd-94621/home/582149,Bridge MLS,40848630,N,Y,37.7540356,-122.1782635
MLS Listing,,Single Family Residential,2422 E 24th St,Oakland,CA,94612,900000,7,3.0,Oakland,2364,4920,1902,4,381,,Active,,,http://www.redfin.com/CA/Oakland/2422-E-24th-St-94601/home/528502,Bridge MLS,40848619,N,Y,37.7894686,-122.2266333
MLS Listing,,Single Family Residential,9501 C St,Oakland,CA,94603,465000,3,1.0,East Oakland,1032,6875,1924,4,451,,Active,,,http://www.redfin.com/CA/Oakland/9501-C-St-94603/home/587640,Bridge MLS,40848609,N,Y,37.7443555,-122.1764897
MLS Listing,,Vacant Land,9670 Mountain Blvd,Oakland,CA,94605,145000,,,Oak Knoll,,8074,,5,,,Active,,,http://www.redfin.com/CA/Oakland/9670-Mountain-Blvd-94605/home/146426344,Bridge MLS,40848603,N,Y,37.7553519,-122.1488322
MLS Listing,,Vacant Land,9680 Mountain Blvd,Oakland,CA,94605,125000,,,East Oakl Hills,,5840,,5,,,Active,,,http://www.redfin.com/CA/Oakland/9680-Mountain-Blvd-94605/home/146426350,Bridge MLS,40848602,N,Y,37.75515,-122.148996
MLS Listing,,Single Family Residential,125 Louvaine Ave,Oakland,CA,94603,425000,2,1.0,Oakland,825,4056,1942,5,515,,Active,January-5-2019 01:00 PM,January-5-2019 04:00 PM,http://www.redfin.com/CA/Oakland/125-Louvaine-Ave-94603/home/590525,Bridge MLS,40848600,N,Y,37.7288467,-122.1842943
